Inoscat   Iequil   Icnt     IcntBe
 0.0       0.0      0.0      0.0
24.4745   17.7208   6.7361  11.1112
38.5490   24.5630  10.9419  16.5677
46.6668   27.4327  13.8475  19.6526
51.6646   28.7844  16.0038  21.6317
55.2380   29.5117  17.6835  23.0275
58.2774   29.9540  19.0360  24.0769
61.1469   30.2487  20.1516  24.8997
63.9081   30.4567  21.0887  25.5634
66.4881   30.6079  21.8872  26.1098
68.7893   30.7189  22.5758  26.5664
70.7471   30.7997  23.1755  26.9525
72.3470   30.8568  23.7023  27.2822
73.6184   30.8946  24.1684  27.5656
74.6172   30.9165  24.5834  27.8109
